Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,brief_screen_age,,text,Record ID,,,,,,,,,,,,,
qualtrics_id,brief_screen_age,,text,Qualtrics respondent ID,,,,,,,,,,,,, @LANGUAGE-CURRENT-FORM
brief_des,brief_screen_age,,descriptive,"Thank you for your interest in participating in the Dime Mas study by the REACH Equity Team at the University of Miami! The following questionnaire will assess your eligibility for the study. If you have any questions, feel free to contact us at Reach@miami.edu or (786) 405-9566!",,,,,,,,,,,,,
age,brief_screen_age,,text,"<div class=""rich-text-field-label""><p>What is your current age in years?</p></div>",,,integer,0,,,,y,,,,,
raceeth,brief_screen,,checkbox,"<div class=""rich-text-field-label""><p>What is your race or ethnicity? Mark all that apply.</p></div>","1, Hispanic, Latino/e/x, or Spanish | 2, Black or African American | 3, White | 4, American Indian or Alaska Native | 5, Asian | 6, Middle Eastern or North African | 7, Native Hawaiian or other Pacific Islander | 8, Another race, ethnicity, or origin {other_raceth} | -999, Decline to answer",,,,,,,y,,,,, @NONEOFTHEABOVE = '-999'
other_raceth,brief_screen,,text,Specify another race/ethnicities.,,,integer,,,,[raceeth(8)],y,,,,,
raceeth_describe,brief_screen,,text,"<div class=""rich-text-field-label""><p>Please describe your ethnicity. For example, Puerto Rican, Mexican, Colombian, Jamaican, Haitian, Italian, Mayan, Navajo Nation, Irish, not sure, etc.</p> <p>Type -999 to decline to answer.</p></div>",,,,,,,,y,,,,,
ziplive,brief_screen,,text,"<div class=""rich-text-field-label""><p>What is the ZIP code where you currently live?</p></div>",,Type -999 to decline to answer,zipcode,,,y,,y,,,,,
gender,brief_screen,,checkbox,"<div class=""rich-text-field-label""><p>Which of the following terms best describes your current gender identity? (check all that apply)</p> <p>If you are not sure what a term means (e.g. <span style=""color: #07bccb;""><a title=""Transgender means identifying with a gender identity different from your sex assigned at birth."">transgender</a></span> or <span style=""color: #843fa1;""><a title=""Cisgender means identifying with the same gender identity of your sex assigned at birth."">cisgender</a></span>), hover your mouse over the term for a definition</p></div>","3, <a title=""Cisgender means identifying with the same gender identity of your sex assigned at birth.""><strong><span style=""color: #843fa1;"">Cisgender</span></strong></a> Woman | 4, <a title=""Cisgender means identifying with the same gender identity of your sex assigned at birth.""><strong><span style=""color: #843fa1;"">Cisgender</span></strong></a> Man | 1, <a title=""Transgender means identifying with a gender identity different from your sex assigned at birth.""><strong><span style=""color: #07bccb;"">Transgender</span></strong></a> Woman | 2, <a title=""Transgender means identifying with a gender identity different from your sex assigned at birth.""><strong><span style=""color: #07bccb;"">Transgender</span></strong></a> Man | 5, Genderqueer | 6, Non-binary | 7, Agender | 8, Not listed {gender_oth} | -999, Decline to answer",,,,,,,y,,,,,
gender_oth,brief_screen,,text,"Other gender, specified",,,,,,,[gender(8)],y,,,,, @PLACEHOLDER = 'please fill in'
